@relation 'matches-weka.filters.unsupervised.attribute.Remove-R1-38-weka.filters.unsupervised.attribute.Remove-R18,36-weka.filters.unsupervised.attribute.Remove-R16,33-weka.filters.unsupervised.attribute.Remove-R11-12,27-28-weka.filters.unsupervised.attribute.Remove-R7,21-weka.filters.unsupervised.attribute.Remove-R9,22'

@attribute home_shotsOnGoal numeric
@attribute home_shotsOffGoal numeric
@attribute home_totalShots numeric
@attribute home_blockedShots numeric
@attribute home_shotsInsideBox numeric
@attribute home_shotsOutsideBox numeric
@attribute home_cornerKicks numeric
@attribute home_offsides numeric
@attribute home_goalkeeperSaves numeric
@attribute home_totalPasses numeric
@attribute home_accuratePasses numeric
@attribute home_expectedGoals numeric
@attribute away_shotsOnGoal numeric
@attribute away_shotsOffGoal numeric
@attribute away_totalShots numeric
@attribute away_blockedShots numeric
@attribute away_shotsInsideBox numeric
@attribute away_shotsOutsideBox numeric
@attribute away_cornerKicks numeric
@attribute away_offsides numeric
@attribute away_goalkeeperSaves numeric
@attribute away_totalPasses numeric
@attribute away_accuratePasses numeric
@attribute away_expectedGoals numeric
@attribute resultado {'Away Win','Home Win',Draw}

@data
5,6,14,3,12,2,1,0,3,339,250,2.33,4,6,13,3,3,10,4,2,3,561,489,1.24,'Home Win'
2,5,8,1,6,2,5,0,4,205,116,0.43,5,8,20,7,5,15,5,3,2,615,549,1.21,'Away Win'
11,7,26,8,14,12,13,3,0,592,501,2.89,2,1,3,0,3,0,1,2,9,209,115,0.74,Draw
5,2,9,2,7,2,3,4,2,441,349,0.58,3,3,11,5,4,7,6,0,4,463,371,0.55,Draw
5,8,15,2,7,8,5,1,1,338,251,1.38,2,3,6,1,4,2,3,1,5,553,466,0.93,Draw
9,13,23,1,21,2,6,0,1,507,426,1.92,1,1,4,2,0,4,2,2,6,355,268,0.1,'Home Win'
2,4,7,1,4,3,1,2,8,183,115,0.73,10,8,22,4,13,9,11,4,0,769,699,3.32,Draw
9,7,19,3,15,4,5,2,1,707,648,3.46,1,3,7,3,2,5,4,1,5,335,273,0.46,'Home Win'
6,11,22,5,12,10,12,2,2,424,348,1.03,4,2,7,1,3,4,2,1,5,254,164,1.05,Draw
4,4,9,1,7,2,7,4,3,409,342,0.99,5,3,8,0,6,2,2,5,3,436,376,1.12,'Away Win'
6,4,12,2,8,4,10,2,3,565,472,1.33,4,7,12,1,7,5,5,2,6,357,266,1.35,'Away Win'
8,6,19,5,13,6,9,3,3,622,558,1.88,5,3,9,1,4,5,6,1,3,298,221,0.99,'Home Win'
7,4,12,1,10,2,4,4,3,534,457,1.45,3,5,10,2,7,3,7,4,6,309,232,0.5,'Home Win'
3,9,16,4,10,6,7,0,4,415,357,0.76,7,1,12,4,10,2,5,6,3,769,707,1.84,'Away Win'
3,4,13,6,10,3,4,2,2,338,246,1.49,3,6,13,4,11,2,8,1,2,431,348,1.16,Draw
4,5,12,3,7,5,4,4,4,550,483,1.44,4,1,5,0,5,0,5,2,2,324,256,0.54,'Home Win'
6,6,14,2,7,7,2,1,6,403,304,1.35,7,7,18,4,14,4,5,5,5,296,205,1.95,'Home Win'
7,8,17,2,9,8,4,1,3,463,417,1.35,5,5,14,4,8,6,6,1,6,489,438,2.13,Draw
6,3,12,3,8,4,1,3,3,501,397,2.14,3,5,13,5,11,2,7,1,4,365,268,0.65,'Home Win'
3,4,12,5,9,3,9,2,6,567,505,1.53,7,5,16,4,8,8,3,1,2,263,182,1.66,Draw
4,3,10,3,4,6,3,6,1,373,275,0.24,3,5,10,2,6,4,2,1,3,566,475,0.74,'Away Win'
7,4,12,1,8,4,10,3,2,499,404,1.86,5,3,11,3,7,4,4,2,5,381,276,1.86,Draw
3,7,15,5,9,6,6,1,2,546,475,1.55,4,4,13,5,5,8,3,0,2,507,452,1.07,'Away Win'
2,7,9,0,5,4,6,1,?,430,350,1.23,1,5,7,1,4,3,3,1,?,435,336,0.4,'Home Win'
5,3,10,2,6,4,2,3,8,289,191,1.09,10,7,20,3,14,6,4,4,3,531,447,1.38,Draw
7,5,16,4,7,9,4,2,1,433,345,0.95,3,8,15,4,9,6,5,3,5,350,259,1.91,Draw
8,9,18,1,16,2,4,0,2,394,314,2.27,5,0,6,1,6,0,1,4,6,498,425,1.39,'Away Win'
2,7,12,3,7,5,10,?,2,594,515,0.58,2,0,4,2,3,1,1,?,1,314,234,0.18,'Home Win'
4,7,15,4,11,4,7,7,0,384,278,0.9,0,3,8,5,2,6,3,1,4,275,155,0.23,Draw
7,3,11,1,10,1,4,5,0,729,651,1.35,1,4,8,3,4,4,4,1,5,399,329,0.47,'Home Win'
3,13,22,6,13,9,6,2,1,492,429,2.26,1,6,8,1,3,5,1,2,1,362,279,0.62,'Home Win'
3,8,15,4,12,3,4,1,4,342,257,2.1,5,5,13,3,11,2,6,1,2,529,444,0.89,Draw
3,14,23,6,16,7,12,1,3,332,257,2.44,3,5,9,1,3,6,6,1,2,268,191,0.63,'Home Win'
6,7,17,4,12,5,9,5,4,524,450,2.14,7,6,17,4,9,8,3,5,4,388,297,2.21,'Away Win'
3,3,9,3,5,4,3,1,4,547,468,0.41,5,3,13,5,10,3,4,3,1,484,384,1.24,'Home Win'
6,5,13,2,9,4,8,2,3,396,329,0.95,4,4,12,4,5,7,3,1,6,393,334,1.23,'Away Win'
3,4,13,6,7,6,6,1,2,318,219,1.19,2,4,6,0,4,2,3,5,2,389,282,0.54,'Home Win'
3,7,15,5,10,5,2,0,0,437,353,1.42,4,6,11,1,7,4,7,5,2,431,370,2.23,'Away Win'
5,12,22,5,14,8,11,2,0,538,467,2.21,0,1,4,3,2,2,1,2,5,316,239,0.1,Draw
2,6,11,3,4,7,0,1,1,399,303,1.43,1,2,6,3,4,2,4,2,1,375,283,0.32,'Home Win'
2,4,7,1,4,3,5,5,3,300,206,0.44,6,8,18,4,11,7,5,4,1,350,272,2.41,'Away Win'
12,4,21,5,18,3,7,2,2,490,404,4.6,5,6,13,2,8,5,2,3,8,368,266,2.24,'Home Win'
10,10,25,5,19,6,6,7,6,548,491,3.79,7,3,11,1,9,2,3,1,7,591,518,0.87,'Home Win'
7,6,16,3,8,8,4,4,3,558,500,1.75,4,3,10,3,6,4,4,0,2,420,362,1.71,'Home Win'
4,7,13,2,5,8,9,4,5,454,379,0.68,6,5,14,3,13,1,5,1,3,299,229,1.79,Draw
3,7,16,6,7,9,7,4,2,432,339,1.07,3,3,6,0,2,4,0,0,2,217,127,0.31,Draw
6,4,12,2,8,4,3,5,5,464,341,1.69,6,3,10,1,8,2,5,3,5,332,212,2.27,Draw
9,10,22,3,15,7,8,1,4,429,361,1.75,7,7,19,5,17,2,3,1,8,515,445,4.59,'Away Win'
3,5,11,3,10,1,8,1,0,418,308,0.97,1,3,6,2,3,3,3,3,2,522,413,0.45,Draw
6,5,11,0,7,4,2,3,0,751,673,1.56,1,6,8,1,7,1,1,2,4,295,198,1.69,'Home Win'
3,11,20,6,14,6,7,2,1,661,576,1.75,1,5,8,2,5,3,3,1,2,305,235,0.99,'Home Win'
6,4,12,2,9,3,7,5,4,405,331,1.44,4,9,15,2,5,10,6,4,6,629,553,0.63,'Home Win'
4,5,13,4,5,8,4,1,3,401,342,1.21,5,3,14,6,8,6,4,1,4,653,598,1.59,'Away Win'
8,3,11,0,5,6,4,0,1,398,306,0.7,2,4,8,2,6,2,4,2,7,409,310,0.59,'Home Win'
5,1,8,2,4,4,6,2,3,346,265,0.83,4,2,11,5,7,4,2,1,3,463,385,1.14,'Home Win'
5,8,18,5,11,7,3,1,4,425,309,1.17,4,5,13,4,10,3,6,4,3,363,245,1.87,'Home Win'
2,9,13,2,10,3,2,2,5,619,549,1.27,6,2,13,5,11,2,6,2,1,382,320,1.42,Draw
4,3,10,3,2,8,1,2,4,293,210,0.74,4,6,15,5,11,4,4,2,3,596,529,1.04,Draw
0,6,8,2,6,2,5,0,1,471,377,0.52,1,3,13,9,6,7,7,1,0,392,286,0.78,Draw
3,5,10,2,10,0,2,3,6,456,373,2.52,7,5,15,3,11,4,4,3,0,546,463,1.02,'Home Win'
8,9,20,3,12,8,4,4,2,504,412,2.41,2,3,6,1,4,2,6,1,8,305,212,0.5,Draw
4,4,9,1,7,2,7,5,3,473,378,1.23,3,7,11,1,7,4,2,2,1,480,381,0.51,'Home Win'
5,0,9,4,6,3,3,8,2,664,597,1.64,3,3,9,3,6,3,2,2,3,217,148,0.98,'Home Win'
3,5,9,1,6,3,1,1,4,232,153,0.69,5,5,17,7,9,8,8,5,2,589,518,1.77,Draw
4,9,18,5,13,5,8,1,3,484,436,1.81,4,1,5,0,3,2,4,0,3,405,340,1.23,Draw
2,7,13,4,9,4,7,1,3,615,558,2.55,4,2,8,2,6,2,2,4,1,425,361,0.62,'Home Win'
7,10,26,9,15,11,12,2,0,564,491,2.47,1,1,2,0,1,1,1,1,6,278,186,0.2,Draw
6,1,11,4,8,3,4,4,4,678,587,1.56,4,6,12,2,5,7,4,2,4,270,173,0.89,'Home Win'
4,4,11,3,6,5,6,7,0,811,762,1.81,0,2,2,0,1,1,0,2,2,334,278,0.1,'Home Win'
3,2,7,2,5,2,5,1,4,496,397,0.8,4,0,7,3,3,4,4,0,3,292,208,0.32,Draw
11,11,31,9,21,10,8,1,3,525,465,3.74,7,6,15,2,13,2,3,2,9,466,400,2.48,'Away Win'
6,4,14,4,11,3,7,0,1,419,351,1.39,2,6,12,4,7,5,6,1,5,727,653,1.03,Draw
5,4,12,3,8,4,2,8,3,303,192,0.87,5,3,13,5,6,7,4,2,4,399,303,1.68,Draw
6,1,8,1,6,2,7,2,0,583,467,0.74,0,3,3,0,1,2,0,1,5,289,164,0.14,'Home Win'
3,1,6,2,3,3,4,3,5,298,203,0.48,5,10,19,4,8,11,12,1,2,570,494,0.63,'Home Win'
5,8,19,6,13,6,12,7,1,306,234,1.92,2,6,9,1,5,4,3,3,3,477,409,0.38,'Away Win'
4,7,13,2,7,6,3,4,5,534,449,2.17,6,6,19,7,11,8,15,2,2,374,286,1.36,'Home Win'
3,3,7,1,6,1,1,2,3,450,352,0.7,4,12,19,3,14,5,8,1,2,462,367,1.06,Draw
4,8,18,6,14,4,8,3,2,578,489,1.27,2,2,4,0,1,3,1,0,4,351,254,0.15,Draw
4,4,20,12,15,5,5,7,2,425,347,2.29,5,6,16,5,14,2,3,2,4,412,339,1.47,'Away Win'
1,2,7,4,3,4,4,1,2,387,284,0.3,2,11,20,7,15,5,4,2,1,327,225,1.88,Draw
7,6,16,3,11,5,3,1,4,386,285,2.42,3,2,7,2,4,3,7,4,5,631,538,0.39,'Home Win'
4,6,11,1,6,5,7,3,2,298,207,1.37,2,3,7,2,7,0,1,0,3,476,391,0.53,'Home Win'
4,5,10,1,8,2,9,0,3,445,340,1.18,3,5,9,1,2,7,1,3,3,284,195,0.63,'Home Win'
9,5,22,8,14,8,14,4,0,650,595,2.32,1,1,3,1,2,1,0,0,5,427,360,0.75,'Home Win'
4,4,11,3,5,6,4,3,6,303,219,0.54,8,4,16,4,14,2,6,3,3,554,481,3.24,Draw
4,5,12,3,6,6,2,5,3,502,433,1.12,3,5,12,4,8,4,7,1,4,368,291,1.11,Draw
